unix = 1717277208, lat = -38.836246, lon = -72.697449, alt = 11.200000, bat% = 86, batmV = 4014, regCount = 0
unix = 1717277329, lat = -38.836246, lon = -72.697449, alt = 11.200000, bat% = 86, batmV = 4014, regCount = 0
unix = 1717277451, lat = -38.835945, lon = -72.697533, alt = 75.199997, bat% = 86, batmV = 4014, regCount = 0
unix = 1717277542, lat = -38.836044, lon = -72.697479, alt = 58.700001, bat% = 86, batmV = 4014, regCount = 0
unix = 1717277663, lat = -38.836044, lon = -72.697479, alt = 58.700001, bat% = 86, batmV = 4014, regCount = 0
unix = 1717277785, lat = -38.835896, lon = -72.697617, alt = 58.700001, bat% = 86, batmV = 4014, regCount = 0
unix = 1717277902, lat = -38.835911, lon = -72.697563, alt = 71.300003, bat% = 86, batmV = 4014, regCount = 0
unix = 1717278022, lat = -38.835930, lon = -72.697685, alt = 65.900002, bat% = 86, batmV = 4014, regCount = 0
unix = 1717278142, lat = -38.835945, lon = -72.697739, alt = 61.200001, bat% = 86, batmV = 4014, regCount = 0
unix = 1717278262, lat = -38.835957, lon = -72.697784, alt = 58.900002, bat% = 87, batmV = 4019, regCount = 0
unix = 1717278382, lat = -38.835758, lon = -72.697739, alt = 109.400002, bat% = 86, batmV = 4014, regCount = 0
unix = 1717278502, lat = -38.835884, lon = -72.697823, alt = 109.400002, bat% = 86, batmV = 4014, regCount = 0
unix = 1717278622, lat = -38.835957, lon = -72.697815, alt = 58.200001, bat% = 86, batmV = 4014, regCount = 0
unix = 1717278742, lat = -38.835907, lon = -72.697754, alt = 65.300003, bat% = 86, batmV = 4014, regCount = 0
unix = 1717278862, lat = -38.835876, lon = -72.697777, alt = 58.799999, bat% = 86, batmV = 4014, regCount = 0
unix = 1717278982, lat = -38.835838, lon = -72.697762, alt = 65.300003, bat% = 86, batmV = 4014, regCount = 0
unix = 1717279102, lat = -38.835869, lon = -72.697815, alt = 73.800003, bat% = 86, batmV = 4010, regCount = 0
unix = 1717279222, lat = -38.835899, lon = -72.697746, alt = 73.800003, bat% = 86, batmV = 4014, regCount = 0
unix = 1717279342, lat = -38.835876, lon = -72.697792, alt = 62.799999, bat% = 86, batmV = 4010, regCount = 0
unix = 1717279462, lat = -38.835960, lon = -72.697739, alt = 72.099998, bat% = 86, batmV = 4014, regCount = 0
unix = 1717279582, lat = -38.835857, lon = -72.697807, alt = 72.099998, bat% = 86, batmV = 4014, regCount = 0
