unix = 1717780923, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 5, batmV = 2881, regCount = 0
unix = 1717780985, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 4, batmV = 2868, regCount = 206
unix = 1717781105, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 4, batmV = 2860, regCount = 1082
unix = 1717781225, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 4, batmV = 2864, regCount = 1919
unix = 1717781345, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 3, batmV = 2851, regCount = 2798
unix = 1717781465, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 4, batmV = 2864, regCount = 3628
unix = 1717781585, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 4, batmV = 2864, regCount = 4440
unix = 1717781705, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 4, batmV = 2864, regCount = 5263
unix = 1717781825, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 4, batmV = 2864, regCount = 6108
unix = 1717781945, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 4, batmV = 2860, regCount = 6956
unix = 1717782065, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 4, batmV = 2864, regCount = 7813
unix = 1717782185, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 4, batmV = 2860, regCount = 8679
unix = 1717782305, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 3, batmV = 2847, regCount = 9548
unix = 1717782425, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 4, batmV = 2864, regCount = 10384
unix = 1717782545, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 4, batmV = 2860, regCount = 11202
unix = 1717782665, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 4, batmV = 2856, regCount = 12045
unix = 1717782785, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 3, batmV = 2851, regCount = 12848
unix = 1717782905, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 3, batmV = 2851, regCount = 13651
unix = 1717783025, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 3, batmV = 2847, regCount = 14454
unix = 1717783145, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 3, batmV = 2843, regCount = 15257
unix = 1717783265, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 3, batmV = 2843, regCount = 16060
unix = 1717783385, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 4, batmV = 2856, regCount = 16869
unix = 1717783505, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 4, batmV = 2856, regCount = 17689
unix = 1717783625, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 3, batmV = 2851, regCount = 18508
unix = 1717783745, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 3, batmV = 2851, regCount = 19283
unix = 1717783865, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 3, batmV = 2851, regCount = 20086
unix = 1717783985, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 3, batmV = 2847, regCount = 20898
unix = 1717784105, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 3, batmV = 2851, regCount = 21708
unix = 1717784225, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 3, batmV = 2851, regCount = 22511
unix = 1717784345, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 3, batmV = 2847, regCount = 23306
unix = 1717784465, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 3, batmV = 2847, regCount = 24108
unix = 1717784585, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 3, batmV = 2843, regCount = 24908
unix = 1717784705, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 2, batmV = 2838, regCount = 25696
unix = 1717784825, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 1, batmV = 2817, regCount = 26499
unix = 1717784945, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 2, batmV = 2830, regCount = 27302
unix = 1717785065, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 2, batmV = 2834, regCount = 28105
unix = 1717785185, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 1, batmV = 2825, regCount = 28908
unix = 1717785305, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 2, batmV = 2830, regCount = 29711
unix = 1717785425, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 1, batmV = 2817, regCount = 30514
unix = 1717785545, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 1, batmV = 2821, regCount = 31317
unix = 1717785665, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 1, batmV = 2825, regCount = 32120
unix = 1717785785, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2812, regCount = 32923
unix = 1717785905, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2808, regCount = 33726
unix = 1717786025, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 2, batmV = 2830, regCount = 34529
unix = 1717786145, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 1, batmV = 2817, regCount = 35332
unix = 1717786265, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 1, batmV = 2821, regCount = 36135
unix = 1717786385, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 1, batmV = 2817, regCount = 36938
unix = 1717786505, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2804, regCount = 37741
unix = 1717786625, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2804, regCount = 38544
unix = 1717786745, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 2, batmV = 2830, regCount = 39347
unix = 1717786865, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2812, regCount = 40150
unix = 1717786985, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2808, regCount = 40953
unix = 1717787105, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2808, regCount = 41756
unix = 1717787225, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2812, regCount = 42559
unix = 1717787345, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2808, regCount = 43362
unix = 1717787465, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 44165
unix = 1717787585, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 44968
unix = 1717787705, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2808, regCount = 45771
unix = 1717787825, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2808, regCount = 46574
unix = 1717787945, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 47377
unix = 1717788065, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 48180
unix = 1717788185, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2808, regCount = 48983
unix = 1717788305, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2808, regCount = 49786
unix = 1717788425, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2808, regCount = 50589
unix = 1717788545, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 51392
unix = 1717788665, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2804, regCount = 52195
unix = 1717788785, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2804, regCount = 52998
unix = 1717788905, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 53801
unix = 1717789025, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2812, regCount = 54604
unix = 1717789145, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2808, regCount = 55311
unix = 1717789265, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2812, regCount = 56005
unix = 1717789385, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2808, regCount = 56701
unix = 1717789505, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2804, regCount = 57396
unix = 1717789625, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2808, regCount = 58060
unix = 1717789745, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2804, regCount = 58729
unix = 1717789865, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 59423
unix = 1717789985, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 60225
unix = 1717790105, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 61028
unix = 1717790225, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 61831
unix = 1717790345, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 62634
unix = 1717790465, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2804, regCount = 63437
unix = 1717790585, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 64240
unix = 1717790705, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 65043
unix = 1717790825, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 65846
unix = 1717790945, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 66649
unix = 1717791065, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 67452
unix = 1717791185, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 68225
unix = 1717791305, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 68985
unix = 1717791425, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 69647
unix = 1717791545, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 70280
unix = 1717791665, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 70926
unix = 1717791785, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 71567
unix = 1717791905, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 72270
unix = 1717792025, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 73073
unix = 1717792145, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 73876
unix = 1717792265, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 74679
unix = 1717792385, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 75482
unix = 1717792505, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 76225
unix = 1717792625, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 76843
unix = 1717792745, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 77474
unix = 1717792865, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 78092
unix = 1717792985, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 78704
unix = 1717793105, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 79497
unix = 1717793225, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 80300
unix = 1717793345, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 81103
unix = 1717793465, lat = 0.000000, lon = 0.000000, alt = 0.000000, bat% = 0, batmV = 2800, regCount = 81906
